Timestamp,Date,Hour,Minute,Day_Name,Day_Type,Is_Weekend,Time_of_Day
2024-01-01 00:00:00,2024-01-01,0,0,Monday,Weekday,False,Night
2024-01-01 00:01:00,2024-01-01,0,1,Monday,Weekday,False,Night
2024-01-01 00:02:00,2024-01-01,0,2,Monday,Weekday,False,Night
2024-01-01 00:03:00,2024-01-01,0,3,Monday,Weekday,False,Night
2024-01-01 00:04:00,2024-01-01,0,4,Monday,Weekday,False,Night
2024-01-01 00:05:00,2024-01-01,0,5,Monday,Weekday,False,Night
2024-01-01 00:06:00,2024-01-01,0,6,Monday,Weekday,False,Night
2024-01-01 00:07:00,2024-01-01,0,7,Monday,Weekday,False,Night
2024-01-01 00:08:00,2024-01-01,0,8,Monday,Weekday,False,Night
2024-01-01 00:09:00,2024-01-01,0,9,Monday,Weekday,False,Night
2024-01-01 00:10:00,2024-01-01,0,10,Monday,Weekday,False,Night
2024-01-01 00:11:00,2024-01-01,0,11,Monday,Weekday,False,Night
2024-01-01 00:12:00,2024-01-01,0,12,Monday,Weekday,False,Night
2024-01-01 00:13:00,2024-01-01,0,13,Monday,Weekday,False,Night
2024-01-01 00:14:00,2024-01-01,0,14,Monday,Weekday,False,Night
2024-01-01 00:15:00,2024-01-01,0,15,Monday,Weekday,False,Night
2024-01-01 00:16:00,2024-01-01,0,16,Monday,Weekday,False,Night
2024-01-01 00:17:00,2024-01-01,0,17,Monday,Weekday,False,Night
2024-01-01 00:18:00,2024-01-01,0,18,Monday,Weekday,False,Night
2024-01-01 00:19:00,2024-01-01,0,19,Monday,Weekday,False,Night
2024-01-01 00:20:00,2024-01-01,0,20,Monday,Weekday,False,Night
2024-01-01 00:21:00,2024-01-01,0,21,Monday,Weekday,False,Night
2024-01-01 00:22:00,2024-01-01,0,22,Monday,Weekday,False,Night
2024-01-01 00:23:00,2024-01-01,0,23,Monday,Weekday,False,Night
2024-01-01 00:24:00,2024-01-01,0,24,Monday,Weekday,False,Night
2024-01-01 00:25:00,2024-01-01,0,25,Monday,Weekday,False,Night
2024-01-01 00:26:00,2024-01-01,0,26,Monday,Weekday,False,Night
2024-01-01 00:27:00,2024-01-01,0,27,Monday,Weekday,False,Night
2024-01-01 00:28:00,2024-01-01,0,28,Monday,Weekday,False,Night
2024-01-01 00:29:00,2024-01-01,0,29,Monday,Weekday,False,Night
2024-01-01 00:30:00,2024-01-01,0,30,Monday,Weekday,False,Night
2024-01-01 00:31:00,2024-01-01,0,31,Monday,Weekday,False,Night
2024-01-01 00:32:00,2024-01-01,0,32,Monday,Weekday,False,Night
2024-01-01 00:33:00,2024-01-01,0,33,Monday,Weekday,False,Night
2024-01-01 00:34:00,2024-01-01,0,34,Monday,Weekday,False,Night
2024-01-01 00:35:00,2024-01-01,0,35,Monday,Weekday,False,Night
2024-01-01 00:36:00,2024-01-01,0,36,Monday,Weekday,False,Night
2024-01-01 00:37:00,2024-01-01,0,37,Monday,Weekday,False,Night
2024-01-01 00:38:00,2024-01-01,0,38,Monday,Weekday,False,Night
2024-01-01 00:39:00,2024-01-01,0,39,Monday,Weekday,False,Night
2024-01-01 00:40:00,2024-01-01,0,40,Monday,Weekday,False,Night
2024-01-01 00:41:00,2024-01-01,0,41,Monday,Weekday,False,Night
2024-01-01 00:42:00,2024-01-01,0,42,Monday,Weekday,False,Night
2024-01-01 00:43:00,2024-01-01,0,43,Monday,Weekday,False,Night
2024-01-01 00:44:00,2024-01-01,0,44,Monday,Weekday,False,Night
2024-01-01 00:45:00,2024-01-01,0,45,Monday,Weekday,False,Night
2024-01-01 00:46:00,2024-01-01,0,46,Monday,Weekday,False,Night
2024-01-01 00:47:00,2024-01-01,0,47,Monday,Weekday,False,Night
2024-01-01 00:48:00,2024-01-01,0,48,Monday,Weekday,False,Night
2024-01-01 00:49:00,2024-01-01,0,49,Monday,Weekday,False,Night
2024-01-01 00:50:00,2024-01-01,0,50,Monday,Weekday,False,Night
2024-01-01 00:51:00,2024-01-01,0,51,Monday,Weekday,False,Night
2024-01-01 00:52:00,2024-01-01,0,52,Monday,Weekday,False,Night
2024-01-01 00:53:00,2024-01-01,0,53,Monday,Weekday,False,Night
2024-01-01 00:54:00,2024-01-01,0,54,Monday,Weekday,False,Night
2024-01-01 00:55:00,2024-01-01,0,55,Monday,Weekday,False,Night
2024-01-01 00:56:00,2024-01-01,0,56,Monday,Weekday,False,Night
2024-01-01 00:57:00,2024-01-01,0,57,Monday,Weekday,False,Night
2024-01-01 00:58:00,2024-01-01,0,58,Monday,Weekday,False,Night
2024-01-01 00:59:00,2024-01-01,0,59,Monday,Weekday,False,Night
2024-01-01 01:00:00,2024-01-01,1,0,Monday,Weekday,False,Night
2024-01-01 01:01:00,2024-01-01,1,1,Monday,Weekday,False,Night
2024-01-01 01:02:00,2024-01-01,1,2,Monday,Weekday,False,Night
2024-01-01 01:03:00,2024-01-01,1,3,Monday,Weekday,False,Night
2024-01-01 01:04:00,2024-01-01,1,4,Monday,Weekday,False,Night
2024-01-01 01:05:00,2024-01-01,1,5,Monday,Weekday,False,Night
2024-01-01 01:06:00,2024-01-01,1,6,Monday,Weekday,False,Night
2024-01-01 01:07:00,2024-01-01,1,7,Monday,Weekday,False,Night
2024-01-01 01:08:00,2024-01-01,1,8,Monday,Weekday,False,Night
2024-01-01 01:09:00,2024-01-01,1,9,Monday,Weekday,False,Night
2024-01-01 01:10:00,2024-01-01,1,10,Monday,Weekday,False,Night
2024-01-01 01:11:00,2024-01-01,1,11,Monday,Weekday,False,Night
2024-01-01 01:12:00,2024-01-01,1,12,Monday,Weekday,False,Night
2024-01-01 01:13:00,2024-01-01,1,13,Monday,Weekday,False,Night
2024-01-01 01:14:00,2024-01-01,1,14,Monday,Weekday,False,Night
2024-01-01 01:15:00,2024-01-01,1,15,Monday,Weekday,False,Night
2024-01-01 01:16:00,2024-01-01,1,16,Monday,Weekday,False,Night
2024-01-01 01:17:00,2024-01-01,1,17,Monday,Weekday,False,Night
2024-01-01 01:18:00,2024-01-01,1,18,Monday,Weekday,False,Night
2024-01-01 01:19:00,2024-01-01,1,19,Monday,Weekday,False,Night
2024-01-01 01:20:00,2024-01-01,1,20,Monday,Weekday,False,Night
2024-01-01 01:21:00,2024-01-01,1,21,Monday,Weekday,False,Night
2024-01-01 01:22:00,2024-01-01,1,22,Monday,Weekday,False,Night
2024-01-01 01:23:00,2024-01-01,1,23,Monday,Weekday,False,Night
2024-01-01 01:24:00,2024-01-01,1,24,Monday,Weekday,False,Night
2024-01-01 01:25:00,2024-01-01,1,25,Monday,Weekday,False,Night
2024-01-01 01:26:00,2024-01-01,1,26,Monday,Weekday,False,Night
2024-01-01 01:27:00,2024-01-01,1,27,Monday,Weekday,False,Night
2024-01-01 01:28:00,2024-01-01,1,28,Monday,Weekday,False,Night
2024-01-01 01:29:00,2024-01-01,1,29,Monday,Weekday,False,Night
2024-01-01 01:30:00,2024-01-01,1,30,Monday,Weekday,False,Night
2024-01-01 01:31:00,2024-01-01,1,31,Monday,Weekday,False,Night
2024-01-01 01:32:00,2024-01-01,1,32,Monday,Weekday,False,Night
2024-01-01 01:33:00,2024-01-01,1,33,Monday,Weekday,False,Night
2024-01-01 01:34:00,2024-01-01,1,34,Monday,Weekday,False,Night
2024-01-01 01:35:00,2024-01-01,1,35,Monday,Weekday,False,Night
2024-01-01 01:36:00,2024-01-01,1,36,Monday,Weekday,False,Night
2024-01-01 01:37:00,2024-01-01,1,37,Monday,Weekday,False,Night
2024-01-01 01:38:00,2024-01-01,1,38,Monday,Weekday,False,Night
2024-01-01 01:39:00,2024-01-01,1,39,Monday,Weekday,False,Night
2024-01-01 01:40:00,2024-01-01,1,40,Monday,Weekday,False,Night
2024-01-01 01:41:00,2024-01-01,1,41,Monday,Weekday,False,Night
2024-01-01 01:42:00,2024-01-01,1,42,Monday,Weekday,False,Night
2024-01-01 01:43:00,2024-01-01,1,43,Monday,Weekday,False,Night
2024-01-01 01:44:00,2024-01-01,1,44,Monday,Weekday,False,Night
2024-01-01 01:45:00,2024-01-01,1,45,Monday,Weekday,False,Night
2024-01-01 01:46:00,2024-01-01,1,46,Monday,Weekday,False,Night
2024-01-01 01:47:00,2024-01-01,1,47,Monday,Weekday,False,Night
2024-01-01 01:48:00,2024-01-01,1,48,Monday,Weekday,False,Night
2024-01-01 01:49:00,2024-01-01,1,49,Monday,Weekday,False,Night
2024-01-01 01:50:00,2024-01-01,1,50,Monday,Weekday,False,Night
2024-01-01 01:51:00,2024-01-01,1,51,Monday,Weekday,False,Night
2024-01-01 01:52:00,2024-01-01,1,52,Monday,Weekday,False,Night
2024-01-01 01:53:00,2024-01-01,1,53,Monday,Weekday,False,Night
2024-01-01 01:54:00,2024-01-01,1,54,Monday,Weekday,False,Night
2024-01-01 01:55:00,2024-01-01,1,55,Monday,Weekday,False,Night
2024-01-01 01:56:00,2024-01-01,1,56,Monday,Weekday,False,Night
2024-01-01 01:57:00,2024-01-01,1,57,Monday,Weekday,False,Night
2024-01-01 01:58:00,2024-01-01,1,58,Monday,Weekday,False,Night
2024-01-01 01:59:00,2024-01-01,1,59,Monday,Weekday,False,Night
2024-01-01 02:00:00,2024-01-01,2,0,Monday,Weekday,False,Night
2024-01-01 02:01:00,2024-01-01,2,1,Monday,Weekday,False,Night
2024-01-01 02:02:00,2024-01-01,2,2,Monday,Weekday,False,Night
2024-01-01 02:03:00,2024-01-01,2,3,Monday,Weekday,False,Night
2024-01-01 02:04:00,2024-01-01,2,4,Monday,Weekday,False,Night
2024-01-01 02:05:00,2024-01-01,2,5,Monday,Weekday,False,Night
2024-01-01 02:06:00,2024-01-01,2,6,Monday,Weekday,False,Night
2024-01-01 02:07:00,2024-01-01,2,7,Monday,Weekday,False,Night
2024-01-01 02:08:00,2024-01-01,2,8,Monday,Weekday,False,Night
2024-01-01 02:09:00,2024-01-01,2,9,Monday,Weekday,False,Night
2024-01-01 02:10:00,2024-01-01,2,10,Monday,Weekday,False,Night
2024-01-01 02:11:00,2024-01-01,2,11,Monday,Weekday,False,Night
2024-01-01 02:12:00,2024-01-01,2,12,Monday,Weekday,False,Night
2024-01-01 02:13:00,2024-01-01,2,13,Monday,Weekday,False,Night
